model,accuracy,balanced_accuracy,macro_f1,weighted_f1
hist_gradient_boosting,0.9491682070240296,0.9478841693785469,0.951761680400289,0.9491363906599538
random_forest,0.9306839186691312,0.9303007412985533,0.9336294385247089,0.9307085710275826
extra_trees,0.9260628465804066,0.9286264269446177,0.9263855264339155,0.9260144146068007
logistic_regression,0.9168207024029574,0.9264083599358631,0.9215260933699115,0.9166611701920302
calibrated_linear_svm,0.9131238447319778,0.9196000191252526,0.9195760401175689,0.913090179376748
